aabcelrt	cartable
aabenn	banane
aabetu	bateau
aabil	balai
aacdeu	cadeau
aacdnr	canard
aacehpu	chapeau
aaeeginr	araignee
aaegtu	gateau
aaemntu	manteau
aaln	lana
aalnnopt	pantalon
aammn	maman
abeefinn	fabienne
abeeill	abeille
abeeiln	baleine
abejm	jambe
abelt	table
aberr	arbre
aberuu	bureau
abllno	ballon
abrs	bras
acceeilnr	arcenciel
acchloot	chocolat
acdhinsw	sandwich
acdhu	chaud
aceehiiimnrrst	mariechristine
aceeilrs	escalier
aceerrtu	createur
acehiorssuuv	chauvesouris
acehir	cahier
acehis	chaise
acehlnp	planche
acehlv	cheval
acehv	vache
aceilr	claire|eclair
aceno	ocean
aceortt	carotte
acht	chat
acilnos	nicolas
acinorsst	croissant
acnory	crayon
adeinorrtu	ordinateur
adeiru	rideau
adenrr	renard
adgnr	grand
adijnr	jardin
aeehlnpt	elephant
aeeisstt	assiette
aeelpu	epaule
aefgir	girafe
aefgmor	fromage
aefirs	fraise
aefnnt	enfant
aeghirtu	gauthier
aegillmuu	guillaume
aeglp	plage
aegmnnot	montagne
aegnor	orange
aegnu	nuage
aegor	orage
aegr	gare|rage
aehimoopppt	hippopotame
aehmrst	hamster
aeilsv	valise
aeimnr	marine
aeimorr	armoire
aeimr	marie
aeimrt	maitre
aeiosu	oiseau
aelmp	lampe
aemott	tomate
aen	ane
aesst	tasse
aeu	eau
afilnor	florian
aillnopp	papillon
ailnp	lapin
ailt	lait
aimn	main
aimnos	maison
ainov	avion
ainp	pain
ainps	sapin
ainrt	train
aipst	tapis
alnotv	volant
art	rat
bbee	bebe
bbnnoo	bonbon
bcceeiltty	bicyclette
bcehou	bouche
beinos	besoin
beior	boire
belu	bleu
bsu	bus
ccdeiloor	crocodile
cceeil	cecile
ccehlo	cloche
cchnoo	cochon
cdehou	douche
ceeehiloprt	helicoptere
ceeehll	echelle
ceefhorttu	fourchette
ceehilln	chenille
ceehm	meche
ceehrv	chevre
ceehuv	cheveu
ceeillru	cuillere
ceeilruu	ecureuil
ceelo	ecole
ceeorrtuuv	couverture
cefr	cerf
cehimn	chemin
cehin	chien|niche
cel	cle
ceopu	coupe
cersu	sucre
chou	chou
cino	coin
cinossu	coussin
clou	clou
coq	coq
coru	cour
deip	pied
dent	dent
dgiot	doigt
eeefnrt	fenetre
eeehln	helene
eeehlnopt	telephone
eeelqsttu	squelette
eeemnttv	vetement
eefillu	feuille
eeft	fete
eegillnoru	grenouille
eegin	neige
eeglr	regle
eehrv	herve
eeiirrv	riviere
eeillor	oreille
eeillorr	oreiller
eeilot	etoile
eeils	elise
eemm	meme
eemr	mere
eenprst	serpent
eenrtv	ventre
eet	ete
eett	tete
eflru	fleur
efort	foret
eghloor	horloge
egillr	grille
egins	singe
egirt	tigre
eglnos	ongles
egmmo	gomme
ehiilppp	philippe
ehinorss	herisson
eiilorv	olivier
eil	ile
eillos	soleil
eilpu	pluie
eilrv	livre
eimnoqu	monique
einqu	nique
einsu	usine
eiortuv	voiture
eipqu	pique
elnu	lune
elopu	poule
elov	velo
els	les|sel
emmop	pomme
emr	mer
enz	nez
eoprt	porte
eorsstu	trousse
eorttu	tortue
eortu	route
epru	peur
estt	test
fimoru	fourmi
giloo	igloo
ginp	ping
gnop	pong
ilno	lion|loin
ilœ	œil
ilt	lit
inoopss	poisson
inor	noir
ior	roi
iorssu	souris
iorst	trois
lopu	loup
losty	stylo
mnootu	mouton
moot	moto
nos	nos|son
oprt	port|trop
orsu	ours
